6137	Инспекция Федеральной налоговой службы по Цимлянскому району Ростовской области
6149	Межрайонная инспекция Федеральной налоговой службы №3 по Ростовской области территориальный участок 6149 по г.Миллерово
6173	Межрайонная инспекция Федеральной налоговой службы №3 по Ростовской области
6196	Межрайонная инспекция Федеральной налоговой службы № 26 по Ростовской области
2533	Межрайонная инспекция Министерства Российской Федерации по налогам и сборам №11 по Приморскому краю
2533	Межрайонная инспекция Федеральной налоговой службы №11 по Приморскому краю
5321	Межрайонная инспекция Федеральной налоговой службы № 9 по Новгородской области
4205	Инспекция Федеральной налоговой службы по г. Кемерово
2336	Инспекция Федеральной налоговой службы по Красноармейскому району Краснодарского края
5910	Инспекция Министерства Российской Федерации по налогам и сборам по г. Александровску Пермской области
5911	Межрайонная инспекция Федеральной налоговой службы № 2 по Пермскому краю
0542	Межрайонная инспекция Федеральной налоговой службы № 3 по Республике Дагестан
0571	Инспекция Федеральной налоговой службы по Ленинскому району г.Махачкалы
5249	Межрайонная инспекция Федеральной налоговой службы № 2 по Нижегородской области
7746	Межрайонная инспекция Министерства Российской Федерации по налогам и сборам №46 по г.Москве
7746	Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве
5042	Инспекция Федеральной налоговой службы по г.Сергиеву Посаду Московской области
1840	Межрайонная инспекция Федеральной налоговой службы № 8 по Удмуртской Республике
1841	Межрайонная инспекция Федеральной налоговой службы № 9 по Удмуртской Республике
1832	Межрайонная инспекция Федеральной налоговой службы № 11 по Удмуртской Республике
3525	Инспекция Федеральной налоговой службы по г. Вологде
3525	Межрайонная инспекция Федеральной налоговой службы № 11 по Вологодской области
2369	Межрайонная инспекция Федеральной налоговой службы № 10 по Краснодарскому краю
2703	Инспекция Министерства Российской Федерации по налогам и сборам по городу Комсомольску-на-Амуре
2703	Инспекция Федеральной налоговой службы по городу Комсомольску-на-Амуре Хабаровского края
7816	Инспекция Министерства Российской Федерации по налогам и сборам по Фрунзенскому району Санкт-Петербурга
7847	Межрайонная инспекция Министерства Российской Федерации по налогам и сборам №15 по Санкт-Петербургу
7847	Межрайонная инспекция Федеральной налоговой службы №15 по Санкт-Петербургу
2626	Инспекция Федеральной налоговой службы по г.Ессентуки Ставропольского края
2650	Межрайонная инспекция Федеральной налоговой службы № 10 по Ставропольскому краю
5942	Межрайонная инспекция Министерства Российской Федерации по налогам и сборам № 7 по Пермской области и Коми-Пермяцкому автономному округу
5916	Межрайонная инспекция Федеральной налоговой службы № 16 по Пермской области и Коми-Пермяцкому автономному округу
5916	Межрайонная инспекция Федеральной налоговой службы № 16 по Пермскому краю
6154	Инспекция МНС России по г.Таганрогу Ростовской области
6154	Инспекция Федеральной налоговой службы по г.Таганрогу Ростовской области
2415	Межрайонная инспекция Федеральной налоговой службы №19 по Красноярскому краю, Таймырскому (Долгано-Ненецкому) и Эвенкийскому автономным округам
2415	Межрайонная инспекция Федеральной налоговой службы № 19 по Красноярскому краю
3253	Межрайонная инспекция Федеральной налоговой службы № 8 по Брянской области
4345	Инспекция Федеральной налоговой службы по городу Кирову
6027	Межрайонная инспекция Федеральной налоговой службы № 1 по Псковской области
3443	Инспекция Федеральной налоговой службы по Дзержинскому району г. Волгограда
5001	Инспекция Федеральной налоговой службы по г.Балашихе Московской области
6320	Межрайонная инспекция Федеральной налоговой службы № 2 по Самарской области
6324	Межрайонная инспекция Федеральной налоговой службы № 19 по Самарской области
4512	Межрайонная инспекция Федеральной налоговой службы № 5 по Курганской области
2035	Межрайонная инспекция Федеральной налоговой службы №5 по Чеченской Республике
2036	Межрайонная инспекция Федеральной налоговой службы №6 по Чеченской Республике
0912	Межрайонная инспекция Министерства Российской Федерации по налогам и сборам № 2 по Карачаево-Черкесской Республике
0912	Межрайонная инспекция Федеральной налоговой службы № 2 по Карачаево-Черкесской Республике
0917	Межрайонная инспекция Федеральной налоговой службы № 3 по Карачаево-Черкесской Республике
5658	Межрайонная инспекция Федеральной налоговой службы № 10 по Оренбургской области
5048	Инспекция Федеральной налоговой службы по г.Чехову Московской области
2536	Инспекция Федеральной налоговой службы по Ленинскому району г. Владивостока
7415	Инспекция Федеральной налоговой службы по г. Миассу Челябинской области
7456	Межрайонная инспекция Федеральной налоговой службы № 17 по Челябинской области
6915	Межрайонная инспекция Федеральной налоговой службы № 8 по Тверской области
4312	Инспекция Министерства Российской Федерации по налогам и сборам по Кирово -Чепецкому району Кировской области
4312	Межрайонная инспекция Федеральной налоговой службы № 7 по Кировской области
7404	Инспекция Министерства по налогам и сборам Российской Федерации по г. Златоусту Челябинской области
7404	Инспекция Федеральной налоговой службы по г. Златоусту Челябинской области
7206	Межрайонная инспекция Федеральной налоговой службы №7 по Тюменской области
6652	Инспекция Федеральной налоговой службы по Сысертскому району Свердловской области
6685	Межрайонная инспекция Федеральной налоговой службы №31 по Свердловской области
4218	Межрайонная инспекция Федеральной налоговой службы по Заводскому и Новоильинскому районам г. Новокузнецка Кемеровской области
4253	Межрайонная инспекция Федеральной налоговой службы №4 по Кемеровской области
5235	Межрайонная инспекция Федеральной налоговой службы № 13 по Нижегородской области
6319	Инспекция Министерства Российской Федерации по налогам и сборам по Промышленному району города Самары
6319	Инспекция Федеральной налоговой службы по Промышленному району г. Самары
4350	Межрайонная инспекция Федеральной налоговой службы № 14 по Кировской области
2454	Межрайонная инспекция Федеральной налоговой службы №9 по Красноярскому краю, Таймырскому (Долгано-Ненецкому) и Эвенкийскому автономным округам
2454	Межрайонная инспекция Федеральной налоговой службы № 9 по Красноярскому краю
2201	Межрайонная инспекция Министерства Российской Федерации по налогам и сборам № 1 по Алтайскому Краю
2201	Межрайонная инспекция Федеральной налоговой службы № 10 по Алтайскому краю
7017	Инспекция Федеральной налоговой службы по городу Томску
4243	Межрайонная инспекция Федеральной налоговой службы № 10 по Кемеровской области
4213	Межрайонная инспекция Федеральной налоговой службы № 1 по Кемеровской области
6141	Межрайонная инспекция Федеральной налоговой службы №11 по Ростовской области территориальный участок 6141 по г.Батайску
6181	Межрайонная инспекция Федеральной налоговой службы №11 по Ростовской области
7026	Межрайонная инспекция Федеральной налоговой службы №2 по Томской области
7031	Межрайонная инспекция Федеральной налоговой службы №7 по Томской области
4704	Инспекция Федеральной налоговой службы по Выборгскому району Ленинградской области
5081	Межрайонная инспекция Федеральной налоговой службы №23 по Московской области
2225	Межрайонная инспекция Федеральной налоговой службы России № 15 по Алтайскому краю
2202	Межрайонная инспекция Федеральной налоговой службы № 16 по Алтайскому краю
5260	Инспекция Федеральной налоговой службы по Нижегородскому району г.Нижнего Новгорода
5275	Межрайонная инспекция Федеральной налоговой службы № 15 по Нижегородской области
